pair_id,trajectory_state_index,variant,first_action_mean_pairwise_l2,first_action_max_pairwise_l2,exec10_mean_pairwise_l2,exec10_max_pairwise_l2,exec10_centroid_rmse,exec10_arm_mean_pairwise_l2,exec10_gripper_mean_pairwise_abs,full50_mean_pairwise_l2,full50_max_pairwise_l2,exec10_dim0_mean_pairwise_abs,exec10_dim1_mean_pairwise_abs,exec10_dim2_mean_pairwise_abs,exec10_dim3_mean_pairwise_abs,exec10_dim4_mean_pairwise_abs,exec10_dim5_mean_pairwise_abs,exec10_dim6_mean_pairwise_abs
13,25,clean,0.19383488595485687,0.3657965064048767,0.1543988138437271,0.4499424993991852,0.043552808463573456,0.15436358749866486,0.0021929156500846148,0.2424289435148239,2.062382459640503,0.13511905074119568,0.04343363270163536,0.01585506647825241,0.007511995267122984,0.015853969380259514,0.010907480493187904,0.0021929156500846148
13,25,perturbed,0.21386413276195526,0.39632928371429443,0.1324983835220337,0.39632928371429443,0.03703602775931358,0.13243421912193298,0.002937673358246684,0.1623874455690384,1.9738035202026367,0.10553813725709915,0.04600932076573372,0.01774715632200241,0.008674520067870617,0.023407144472002983,0.013013679534196854,0.002937673358246684
14,26,clean,0.2104489803314209,0.3695352375507355,0.16738490760326385,0.4683721661567688,0.047445546835660934,0.16733960807323456,0.0025764061138033867,0.22517021000385284,2.006539821624756,0.14537039399147034,0.0511358343064785,0.01560863759368658,0.007778461091220379,0.01114344596862793,0.012632839381694794,0.0025764061138033867
14,26,perturbed,0.1809394359588623,0.3294658362865448,0.12854048609733582,0.33940884470939636,0.03580715134739876,0.12847989797592163,0.0027895295061171055,0.18472900986671448,1.98226797580719,0.1060633659362793,0.0401591919362545,0.014844714663922787,0.008991751819849014,0.02254319190979004,0.011409256607294083,0.0027895295061171055
15,27,clean,0.2274332344532013,0.3878059685230255,0.1822088658809662,0.49156302213668823,0.05087848752737045,0.182169109582901,0.0025947773829102516,0.23902878165245056,2.0677971839904785,0.15533319115638733,0.06569603085517883,0.016771605238318443,0.006904564332216978,0.010652466677129269,0.015131980180740356,0.0025947773829102516
15,27,perturbed,0.17740407586097717,0.3548599183559418,0.14114601910114288,0.42770692706108093,0.03939742594957352,0.1410856544971466,0.0027555895503610373,0.1881725788116455,1.9808884859085083,0.12071378529071808,0.037949975579977036,0.013268415816128254,0.00830406229943037,0.02060920000076294,0.011731704697012901,0.0027555895503610373
16,29,clean,0.29761189222335815,0.580522894859314,0.1978311389684677,0.5876782536506653,0.05539369955658913,0.197788804769516,0.002966956002637744,0.2459949553012848,2.076575994491577,0.16949932277202606,0.07472926378250122,0.016690485179424286,0.008606549352407455,0.009377555921673775,0.018146520480513573,0.002966956002637744
16,29,perturbed,0.1371172070503235,0.28401076793670654,0.1521708369255066,0.46631914377212524,0.04255397617816925,0.1521180272102356,0.002611821983009577,0.1933998167514801,1.9781814813613892,0.1324286013841629,0.046839639544487,0.014667212963104248,0.008378064259886742,0.014082783833146095,0.01316004991531372,0.002611821983009577
17,30,clean,0.2878657877445221,0.5950378179550171,0.18856428563594818,0.5950378179550171,0.051815081387758255,0.18850630521774292,0.0030986976344138384,0.2443404495716095,2.060783624649048,0.15525251626968384,0.07682161033153534,0.01615951955318451,0.010026898235082626,0.012538973242044449,0.01977372355759144,0.0030986976344138384
17,30,perturbed,0.21783332526683807,0.4570511281490326,0.16880138218402863,0.4752160906791687,0.04705963283777237,0.1687612682580948,0.002434843685477972,0.20550793409347534,1.9752763509750366,0.14580701291561127,0.06103001907467842,0.013363923877477646,0.008741151541471481,0.011715003289282322,0.014216553419828415,0.002434843685477972
18,31,clean,0.21820786595344543,0.40753498673439026,0.24961012601852417,1.9872715473175049,0.10563334822654724,0.17820119857788086,0.08209038525819778,0.24753524363040924,2.0519278049468994,0.14144869148731232,0.07851775735616684,0.020441005006432533,0.011103983968496323,0.015905238687992096,0.018395990133285522,0.08209038525819778
18,31,perturbed,0.25539833307266235,0.5525909066200256,0.16026489436626434,0.5525909066200256,0.045430030673742294,0.16020889580249786,0.0027906179893761873,0.2318800687789917,2.0217337608337402,0.13074924051761627,0.06713259220123291,0.01428502518683672,0.010335071012377739,0.011902112513780594,0.015572361648082733,0.0027906179893761873
19,32,clean,0.15245957672595978,0.25751468539237976,0.31288498640060425,2.0030908584594727,0.1415535807609558,0.17212459444999695,0.16181638836860657,0.20796579122543335,2.0030908584594727,0.12803147733211517,0.08100152760744095,0.03105325438082218,0.012353628873825073,0.019296424463391304,0.015567583963274956,0.16181638836860657
19,32,perturbed,0.217998668551445,0.45688438415527344,0.1538093239068985,0.45688438415527344,0.044756803661584854,0.15374888479709625,0.0030759847722947598,0.19099751114845276,1.9998046159744263,0.11987119913101196,0.07396232336759567,0.016409261152148247,0.012183867394924164,0.014471706934273243,0.01083445455878973,0.0030759847722947598
20,34,clean,0.10866955667734146,0.17908650636672974,0.37646666169166565,2.002028703689575,0.15915469825267792,0.1931222677230835,0.20266376435756683,0.2213590443134308,2.0144541263580322,0.12081978470087051,0.07634003460407257,0.07242710888385773,0.017946334555745125,0.02633979544043541,0.015926534309983253,0.20266376435756683
20,34,perturbed,0.12939932942390442,0.187838613986969,0.30093467235565186,2.0072474479675293,0.14088070392608643,0.15237227082252502,0.16642871499061584,0.2072875052690506,2.0199732780456543,0.1060146912932396,0.0694982260465622,0.03457454964518547,0.016263112425804138,0.02119515649974346,0.009480830281972885,0.16642871499061584
21,35,clean,0.13998083770275116,0.2531639635562897,0.387053519487381,2.003222703933716,0.1595350205898285,0.20481927692890167,0.20181922614574432,0.2512463927268982,2.0510780811309814,0.12700985372066498,0.07004278898239136,0.08992177993059158,0.019679658114910126,0.02641124278306961,0.014871474355459213,0.20181922614574432
21,35,perturbed,0.09574125707149506,0.15223143994808197,0.3317285478115082,2.009284019470215,0.14471407234668732,0.18790093064308167,0.16210085153579712,0.2438785433769226,2.119047164916992,0.13234201073646545,0.06342203170061111,0.06475590914487839,0.017494475468993187,0.02311931923031807,0.008706086315214634,0.16210085153579712
22,36,clean,0.16948041319847107,0.2963910400867462,0.33364617824554443,2.0009920597076416,0.143011212348938,0.1880568265914917,0.16170738637447357,0.21786698698997498,2.014800786972046,0.1153917983174324,0.057289715856313705,0.09015371650457382,0.019946688786149025,0.02990584820508957,0.01806844025850296,0.16170738637447357
22,36,perturbed,0.12942354381084442,0.1845676749944687,0.3910733759403229,1.9953159093856812,0.16035637259483337,0.20920957624912262,0.2019474059343338,0.2648550271987915,2.144012451171875,0.1422843337059021,0.06229039654135704,0.08993200957775116,0.01795448735356331,0.02408670447766781,0.010840953327715397,0.2019474059343338
23,38,clean,0.1390112340450287,0.2882908582687378,0.3340100049972534,1.9994454383850098,0.1560298055410385,0.14953522384166718,0.2026568353176117,0.2744980454444885,2.131526470184326,0.0683891698718071,0.03886469453573227,0.09527040272951126,0.016459995880723,0.02795945107936859,0.019927343353629112,0.2026568353176117
23,38,perturbed,0.20435114204883575,0.38807958364486694,0.3543131649494171,1.995019555091858,0.15710356831550598,0.1750003844499588,0.20147539675235748,0.2833612561225891,2.15565824508667,0.11696460098028183,0.026556234806776047,0.09514467418193817,0.012222289107739925,0.02664092555642128,0.014678385108709335,0.20147539675235748
24,39,clean,0.8422905802726746,2.001281976699829,0.2635343372821808,2.0054054260253906,0.13842186331748962,0.11314001679420471,0.16276931762695312,0.2153041660785675,2.048902988433838,0.03735284507274628,0.03135530278086662,0.07983576506376266,0.014682608656585217,0.025673408061265945,0.0175186675041914,0.16276931762695312
24,39,perturbed,0.15413548052310944,0.26209065318107605,0.1845230907201767,2.0008325576782227,0.09913527220487595,0.10890603065490723,0.08385024219751358,0.18277370929718018,2.020686149597168,0.06681951880455017,0.013982677832245827,0.05115814507007599,0.0071037872694432735,0.04073471575975418,0.012345761992037296,0.08385024219751358
25,40,clean,0.7192789912223816,1.717190146446228,0.1518247276544571,1.717190146446228,0.08536864817142487,0.08650903403759003,0.07240570336580276,0.1850745975971222,2.0903143882751465,0.02599196694791317,0.03463734686374664,0.05184382572770119,0.014223272912204266,0.02588106319308281,0.012140298262238503,0.07240570336580276
25,40,perturbed,0.8767746090888977,1.9800256490707397,0.3164944052696228,2.006519079208374,0.15366972982883453,0.1306358277797699,0.2017504721879959,0.19414333999156952,2.006519079208374,0.060520898550748825,0.025825729593634605,0.0748414620757103,0.00923231802880764,0.049160875380039215,0.01843336597084999,0.2017504721879959
26,41,clean,0.08656223863363266,0.15055851638317108,0.061887286603450775,0.15055851638317108,0.016902664676308632,0.06181134283542633,0.002384437248110771,0.16853387653827667,2.106454372406006,0.01932736672461033,0.02241021953523159,0.03273746743798256,0.0088660242035985,0.02552371472120285,0.010462493635714054,0.002384437248110771
