pair_id,trajectory_state_index,stage,manipulation_critical,clean_disagreement,perturbed_disagreement,disagreement_delta,perturbed_over_clean_ratio,counterexample,eef_object_distance_m,object_lift_height_m,object_target_xy_distance_m,clean_visible_pixels_mean,perturbed_visible_pixels_mean,visibility_gain_fraction,clean_min_visibility_view,largest_visibility_gain_view,largest_rgb_change_view,clean_max_action_disagreement_view,perturbed_max_action_disagreement_view,largest_matched_action_response_view,rgb_change_fraction_mean,rgb_pixel_fraction_change_over_10_mean
29,45,grasp_contact,True,0.07529893517494202,0.1555270552635193,0.08022812008857727,2.0654615487215495,False,0.047296824028843915,-0.00013170164062925593,0.11693068001829934,352.6,679.2,0.9262620533182075,yaw_p030,nominal,nominal,nominal,yaw_p030,yaw_p030,0.0030078723383884804,0.0107330322265625
30,47,grasp_contact,True,0.10226240754127502,0.17230913043022156,0.07004672288894653,1.6849704067516147,False,0.04810897525267982,0.00029140130713289913,0.11693118743918085,366.8,691.2,0.8844056706652128,yaw_p015,nominal,nominal,yaw_m015,yaw_p030,yaw_p030,0.0030624210133272057,0.010955810546875
31,48,grasp_contact,True,0.11651383340358734,0.17140254378318787,0.054888710379600525,1.4710917903582645,False,0.048311294285827935,0.0005017979331848332,0.11683517639680562,375.6,698.4,0.8594249201277953,yaw_p015,nominal,nominal,yaw_m015,yaw_p030,yaw_p030,0.0030919093711703426,0.01109619140625
32,49,grasp_contact,True,0.16666577756404877,0.1890728920698166,0.022407114505767822,1.134443404238503,False,0.04814520041249825,0.000935544434428115,0.11692240565493707,384.4,701.8,0.8257023933402705,yaw_p030,nominal,nominal,nominal,yaw_p030,yaw_m030,0.0031344305300245096,0.0111480712890625
33,50,grasp_contact,True,0.18833638727664948,0.1909899115562439,0.0026535242795944214,1.0140892809826316,False,0.04800373149869852,0.0015187081773005984,0.1170752693257419,398.2,706.4,0.7739829231541939,yaw_p015,nominal,nominal,nominal,yaw_p030,yaw_m030,0.0031820379518995093,0.011297607421875
34,52,lift_transport,True,0.21778978407382965,0.2324960082769394,0.014706224203109741,1.0675248578148386,False,0.047897559265925115,0.005187126870323744,0.11595750088939942,418.0,718.0,0.7177033492822966,yaw_p015,nominal,nominal,nominal,nominal,yaw_m030,0.003273423138786765,0.0115203857421875
35,53,lift_transport,True,0.2359181046485901,0.2491304725408554,0.01321236789226532,1.0560040439115332,False,0.04785510367522642,0.008737196406296,0.11461038415733546,424.0,726.4,0.7132075471698112,yaw_p030,nominal,nominal,nominal,nominal,yaw_p015,0.0033368278952205883,0.011676025390625
36,54,lift_transport,True,0.2238939255475998,0.26709628105163574,0.04320235550403595,1.1929590336065243,False,0.04782583025840083,0.01325588337797845,0.11314448583721279,432.8,736.2,0.7010166358595196,yaw_p030,nominal,nominal,nominal,nominal,yaw_p015,0.0033919270833333336,0.0118255615234375
37,56,lift_transport,True,0.16008514165878296,0.2896859645843506,0.12960082292556763,1.8095743401458717,False,0.04778368962487931,0.025937349740082216,0.10953644029600448,446.8,756.2,0.6924798567591763,yaw_p015,nominal,nominal,nominal,nominal,nominal,0.003455056583180147,0.0120086669921875
38,57,lift_transport,True,0.15374916791915894,0.26688531041145325,0.11313614249229431,1.7358488115641777,False,0.047775562737298785,0.034429718525578634,0.10677647375522928,453.8,767.2,0.6906126046716616,yaw_p015,nominal,nominal,nominal,nominal,nominal,0.003491198969822304,0.0122100830078125
